gene,expression/AUS_root_A.txt,expression/AUS_root_B.txt,expression/AUS_root_C.txt,expression/AUS_tip_leaf_A.txt,expression/AUS_tip_leaf_B.txt,expression/AUS_tip_leaf_C.txt,average root,average tip leaf,average overall,donor,sd.root,se.root,sd.tip.leaf,se.tip.leaf
NA,NA,NA,NA,NA,NA,NA,,,,, ,, ,
LGT-AUS1-07900RA,0,0,0,0,0,0,0,0,0,Cenchrinae,0,0,0,0
LGT-AUS1-02037RA,0,0.219,0.358,0.386,0.3,0,0.192333333,0.228666667,0.2105,Lasiacis,0.14736425,0.104202261,0.165459629,0.116997626
NA,NA,NA,NA,NA,NA,NA,,,,, ,, ,
LGT-AUS1-28575RA,5.67,7.92,10.3,3.65,3.05,5.19,7.963333333,3.963333333,5.963333333,Cenchrinae,1.890437927,1.336741478,0.901307692,0.637320781
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
LGT-AUS1-08940RA,88.6,33.8,31.3,0.623,1.21,2.02,51.23333333,1.284333333,26.25883333,Chloridoideae,26.44192798,18.69726659,0.572739809,0.404988203
LGT-AUS1-31838RA,18.3,92.8,110,43.5,52,26.3,73.7,40.6,57.15,Cenchrinae,39.79807366,28.14148776,10.69049422,7.559320957
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
LGT-AUS1-41109RA,1.95,2.87,1.94,1.78,1.73,1.14,2.253333333,1.55,1.901666667,,0.436068292,0.308346847,0.290631496,0.205507502
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
LGT-AUS1-02887RA,7.83,19.8,15.9,36.8,33,29.9,14.51,33.23333333,23.87166667,Andropogoneae,4.984596273,3.524641826,2.821740991,1.99527219
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
LGT-AUS1-08209RA,42.7,84.5,80.6,51.5,63,53.9,69.26666667,56.13333333,62.7,Chloridoideae,18.85282178,13.33095812,4.95333782,3.502538762
LGT-AUS1-08211RA,0,0,0,0,0,0,0,0,0,Chloridoideae,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
LGT-AUS1-01816RA,23.2,31.5,47.5,22,25.6,25.7,34.06666667,24.43333333,29.25,Cenchrinae,10.08508249,7.13123022,1.721110752,1.217009084
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
LGT-AUS1-04170,28,18.5,22.2,18.4,22,22.8,22.9,21.06666667,21.98333333,Melinidinae,3.909816705,2.764657905,1.913693346,1.353185542
LGT-AUS1-04379,2.97,9.09,12.5,18,23.8,15.3,8.186666667,19.03333333,13.61,,3.942692256,2.78790443,3.546202977,2.507544173
LGT-AUS1-05848,0,0,0,0,0,0,0,0,0,Cenchrinae,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,, , , , 
LGT-AUS1-09858,50.6,82.4,122,44.4,68.9,63,85,58.76666667,71.88333333,Cenchrinae,29.20684851,20.65236064,10.44041293,7.382486784
LGT-AUS1-09859,0,3.56,0.174,0,0,0,1.244666667,0,0.622333333,Cenchrinae,1.638728233,1.158755846,0,0
LGT-AUS1-09860,0,1.68,0,0,0,0,0.56,0,0.28,Cenchrinae,0.791959595,0.56,0,0
LGT-AUS1-09866,7.65,13.6,11.1,12,5.21,6.05,10.78333333,7.753333333,9.268333333,Cenchrinae,2.439376059,1.724899353,3.022364784,2.137134634
LGT-AUS1-17509,0,0,0,0,0,0,0,0,0,Cenchrinae,0,0,0,0
"LGT-AUS1-17513,LGT-AUS1-17514",6.8,2.51,3.285,6.75,2,1.43,4.198333333,3.393333333,3.795833333,Cenchrinae,1.866665179,1.319931606,2.384901582,1.686380081
LGT-AUS1-19165,11.8,121,66.3,10.7,2.85,3.84,66.36666667,5.796666667,36.08166667,Cenchrinae,44.58073824,31.52334232,3.490657372,2.468267499
LGT-AUS1-20549,3.44,10.6,9.37,3.1,3.88,2.86,7.803333333,3.28,5.541666667,Andropogoneae,3.125938081,2.210372015,0.435430821,0.307896086
LGT-AUS1-20550,0,3.39,1.89,0.734,1.35,0.649,1.76,0.911,1.3355,Andropogoneae,1.387011175,0.980765008,0.312353432,0.22086723
LGT-AUS1-20551,2.42,4.53,5.49,3.95,4.64,1.57,4.146666667,3.386666667,3.766666667,Andropogoneae,1.282298284,0.906721812,1.315100334,0.929916364
"LGT-AUS1-25957,LGT-AUS1-25962",6.795,4.745,7.62,15.3,14.6,13.75,6.386666667,14.55,10.46833333,Andropogoneae,1.208706839,0.854684802,0.633771778,0.448144322
LGT-AUS1-25959,0,0,0,0,0,0.144,0,0.048,0.024,Andropogoneae,0,0,0.067882251,0.048
LGT-AUS1-39446,1.96,1.99,2.68,1.47,1.43,2.09,2.21,1.663333333,1.936666667,Cenchrinae,0.332565783,0.23515952,0.302140512,0.213645605
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
LGT-AUS1-07898,140,191,223,228,240,201,184.6666667,223,203.8333333,Cenchrinae,34.17926597,24.16839074,16.30950643,11.53256259
LGT-AUS1-07899,0,0,0,0,0,0,0,0,0,Cenchrinae,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
LGT-AUS1-06781,0,0.334,0.816,0.704,0.686,0.7,0.383333333,0.696666667,0.54,Andropogoneae,0.33495207,0.23684688,0.007717225,0.005456902
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
LGT-AUS1-31856,0,0.0799,0,0,0,0,0.026633333,0,0.013316667,Cenchrinae,0.037665221,0.026633333,0,0
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
LGT-AUS1-21433,1.11,18,12.5,14.7,14.3,6.06,10.53666667,11.68666667,11.11166667,Andropogoneae,7.033682456,4.973564561,3.982003962,2.815702004
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
NA,NA,NA,NA,NA,NA,NA,,,,, , , , 
